"","rowname","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","condition","TFH","GC","HumoralImmunity","GC_TFs","TF_TFs","GCZones","cd40Signaling","nfkbactivation","ProliferationdarkZoneBcells","otherMarkers","calciumsignaling","BCRgenes","memoryBcells"
"1","CRP",2.64459269236234e-241,5.67689342163369,0.978,0.253,3.97297160173594e-237,"Glul_RejectorDSA",NA,NA,"HumoralImmunity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","APOA1",1.21433078484424e-229,-1.10794087323783,1,1,1.82428913807151e-225,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","SELENOP",6.19186106324922e-209,-0.845993950167105,1,1,9.30203287531931e-205,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BHMT",2.09011423059121e-208,-1.48771187413495,0.984,1,3.13997860861718e-204,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","FKBP5",5.5297231893751e-208,-2.60789388387425,0.468,0.978,8.30730314739822e-204,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","SAA1",5.01566113358145e-191,2.21246677312856,1,0.959,7.53502772097941e-187,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","GSTM1",2.10744813332606e-190,-4.72504076554319,0.318,0.856,3.16601933069574e-186,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","IGHG3",4.2227710723441e-184,-5.82065061904901,0.051,0.734,6.34386898198254e-180,"Glul_RejectorDSA",NA,NA,"HumoralImmunity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","GPAM",8.19377931056843e-180,-2.07109725640076,0.617,0.982,1.2309514658267e-175,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","APOC1",3.96662064049821e-175,-0.622782381066413,1,1,5.95905418822046e-171,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","TTR",1.01851857720253e-173,-0.991063341129706,1,1,1.53012045853136e-169,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","GLUL",1.96527199302017e-170,-2.02214195037043,0.991,1,2.95242811511421e-166,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","FMO3",4.00857213750384e-170,-1.17092778269306,0.966,1,6.02207792217201e-166,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","SAA2",9.37391031242315e-169,2.76062347807342,1,0.952,1.40824254623533e-164,"Glul_RejectorDSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
