"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FTL",2.64706880252889e-255,0.836213748797229,1,0.999,3.76545537159734e-251,"GLUL","FTL"
"GLUL",2.58539255175246e-253,2.23634151694128,0.853,0.51,3.67772090486787e-249,"GLUL","GLUL"
"CYP2E1",2.02130938677583e-205,0.940225186056566,0.994,0.889,2.87531260268861e-201,"GLUL","CYP2E1"
"C1QB",7.16793413647982e-148,1.2388590786264,0.77,0.462,1.01963863091425e-143,"GLUL","C1QB"
"CYP1A2",4.48990041698567e-142,1.24902352638472,0.738,0.424,6.38688334316212e-138,"GLUL","CYP1A2"
"FTH1",5.77901222734646e-142,0.783776657246621,0.947,0.828,8.22064489340034e-138,"GLUL","FTH1"
"B2M",2.34526838672276e-137,0.528539565494829,0.997,0.986,3.33614428011313e-133,"GLUL","B2M"
"HPD",3.41003721835237e-112,0.555367608129602,0.982,0.912,4.85077794310625e-108,"GLUL","HPD"
"TMSB4X",1.00670383548433e-106,0.595332674589358,0.95,0.78,1.43203620597645e-102,"GLUL","TMSB4X"
"SLCO1B3",4.63360961456086e-82,1.58043777927645,0.357,0.134,6.59130967671282e-78,"GLUL","SLCO1B3"
"GPX2",7.13459414694968e-74,1.12045456627537,0.506,0.264,1.01489601740359e-69,"GLUL","GPX2"
"SULT2A1",2.89107292971718e-68,0.566253885617682,0.908,0.752,4.1125512425227e-64,"GLUL","SULT2A1"
"DNASE1L3",7.41055226009486e-68,1.03993996207977,0.579,0.361,1.05415105899849e-63,"GLUL","DNASE1L3"
"CD74",3.02013958300083e-62,0.471932990956976,0.883,0.693,4.29614855681868e-58,"GLUL","CD74"
"SLC40A1",1.14256993698244e-61,0.784968357932404,0.674,0.471,1.62530573535752e-57,"GLUL","SLC40A1"
"CD163",8.20569562141766e-61,1.05465778626645,0.453,0.24,1.16726020214666e-56,"GLUL","CD163"
"ADIRF",2.95271970872742e-60,1.00707245180364,0.413,0.203,4.20024378566475e-56,"GLUL","ADIRF"
"C1QA",6.31394536510514e-58,1.00544766387673,0.441,0.23,8.98158728186207e-54,"GLUL","C1QA"
"HLA-DRA",1.83143306783269e-56,0.614474159674444,0.667,0.452,2.605213538992e-52,"GLUL","HLA-DRA"
"CTSB",3.54563298839464e-54,0.587246445008524,0.862,0.762,5.04366292599138e-50,"GLUL","CTSB"
"AKR1C2",4.51144474199509e-54,1.24086586951152,0.394,0.206,6.41753014548802e-50,"GLUL","AKR1C2"
"IFI30",1.15720539536793e-53,0.914080237745911,0.524,0.319,1.64612467491088e-49,"GLUL","IFI30"
"CD68",2.07412119348907e-52,1.14841102762614,0.359,0.175,2.95043739773821e-48,"GLUL","CD68"
"PABPC1",8.46417071011399e-52,0.449497099810493,0.908,0.776,1.20402828351371e-47,"GLUL","PABPC1"
"CTSS",2.05206263223109e-51,0.925578448234947,0.477,0.277,2.91905909434872e-47,"GLUL","CTSS"
"ACTB",7.17854719862905e-51,0.36596749296849,0.951,0.877,1.02114833900498e-46,"GLUL","ACTB"
"FMO3",4.07180492331698e-50,0.559816625924906,0.815,0.671,5.79214250341841e-46,"GLUL","FMO3"
"MS4A6A",6.38622338946904e-50,1.08532900712366,0.378,0.194,9.08440277151971e-46,"GLUL","MS4A6A"
"IGKC",9.01641602471152e-50,1.96834347352414,0.509,0.334,1.28258517951521e-45,"GLUL","IGKC"
"FCER1G",1.57148901711875e-49,1.08834530365083,0.358,0.178,2.23544312685142e-45,"GLUL","FCER1G"
"FCGR3A",5.96991849928926e-49,0.962359310335587,0.446,0.256,8.49220906523897e-45,"GLUL","FCGR3A"
"MARCO",7.06193155214446e-49,1.14631728928757,0.402,0.219,1.00455976329255e-44,"GLUL","MARCO"
"BRI3",2.21567275923682e-46,0.56244910957927,0.75,0.588,3.15179450001438e-42,"GLUL","BRI3"
"AOX1",1.28309711347269e-45,0.447036441734202,0.887,0.733,1.8252056439149e-41,"GLUL","AOX1"
"CST3",4.01980687901482e-45,0.444696375094841,0.881,0.755,5.71817528539858e-41,"GLUL","CST3"
"PPP1R1A",6.87550476895878e-45,0.730252180816392,0.554,0.361,9.78040553384387e-41,"GLUL","PPP1R1A"
"LIPA",3.40250485220287e-44,1.09540507723934,0.341,0.174,4.84006315225859e-40,"GLUL","LIPA"
"STARD10",9.49745395661559e-44,0.527279710374787,0.777,0.637,1.35101282532857e-39,"GLUL","STARD10"
"AQP9",3.47079204463477e-41,0.47688161320446,0.794,0.64,4.93720168349296e-37,"GLUL","AQP9"
"TYROBP",6.61955006570123e-41,0.760149392108133,0.51,0.33,9.41630996846e-37,"GLUL","TYROBP"
"CSTB",1.05061460126644e-40,0.834786032828408,0.451,0.276,1.49449927030151e-36,"GLUL","CSTB"
"IGFBP3",6.81867210844182e-40,0.628956644312233,0.731,0.579,9.69956107425849e-36,"GLUL","IGFBP3"
"C1QC",1.23475896253501e-39,0.608915364274625,0.682,0.507,1.75644462420606e-35,"GLUL","C1QC"
"OAT",2.18257077192798e-38,1.15352172127846,0.279,0.136,3.10470692306755e-34,"GLUL","OAT"
"VSIG4",5.52680221971581e-38,0.985560604025604,0.316,0.164,7.86187615754573e-34,"GLUL","VSIG4"
"CTSD",6.17854746190565e-38,0.395982422255068,0.931,0.89,8.78898376456079e-34,"GLUL","CTSD"
"CYP3A4",2.1362386501947e-37,1.43323116096558,0.191,0.074,3.03879947990196e-33,"GLUL","CYP3A4"
"SDC3",9.71395233946652e-36,0.933033010410749,0.337,0.185,1.38180972028911e-31,"GLUL","SDC3"
"JCHAIN",1.87911900640051e-34,1.73329987658131,0.23,0.108,2.67304678660473e-30,"GLUL","JCHAIN"
"PSAP",3.3174453230399e-34,0.370912183816357,0.939,0.895,4.71906597202426e-30,"GLUL","PSAP"
"IGHG1",3.84445178702544e-34,1.49087304107425,0.286,0.151,5.46873266704368e-30,"GLUL","IGHG1"
"IGHM",3.65123531301814e-33,2.15738694808048,0.276,0.149,5.19388223276831e-29,"GLUL","IGHM"
"RNASE1",5.20647134690964e-33,1.01863487813329,0.266,0.133,7.40620549097897e-29,"GLUL","RNASE1"
"IGHG3",3.1644205485624e-32,2.44902066729826,0.193,0.084,4.50138823033002e-28,"GLUL","IGHG3"
